"Name of the
Bidder/
Bidding Firm /
Company :",,,,,,,,
"PRICE SCHEDULE
(DOMESTIC TENDERS - RATES ARE TO GIVEN IN RUPEES (INR) ONLY)
(This BOQ template must not be modified/replaced by the bidder and the same should be uploaded after filling the relevant columns, else the bidder is liable to be rejected for this tender. Bidders are allowed to enter the Bidder Name
and Values only )",,,,,,,,
NUMBER #,TEXT #,NUMBER #,TEXT #,NUMBER #,NUMBER,NUMBER #,NUMBER #,TEXT #
"Sl.
No.",Item Description,Quantity,Units,"BASIC RATE In
Figures To be
entered by the
Bidder in
Rs. P","GST Amount in
INR
Rs. P","F.O.R Rate
WithTaxes
col (13) = (7) + (9)
in
Rs. P","TOTAL AMOUNT
With Taxes
col (14) = (4) x (13)
in
Rs. P",TOTAL AMOUNT In Words
1,2,4,5,7,9,13,14,15
1,IT Hardware for SCADA/ADMS for Main Control Centre and RVDUs,,,,,,,
1.01,ISR server,2,Nos.,,,0.00,0.00,INR Zero Only
1.02,SMS gateway Server,1,Nos.,,,0.00,0.00,INR Zero Only
1.03,Workstation with dual TFT Monitors ( S/S monitoring),5,Nos.,,,0.00,0.00,INR Zero Only
1.04,Workstation with dual TFT Monitors (Network monitoring),3,Nos.,,,0.00,0.00,INR Zero Only
1.05,Remote VDUs with one TFT Monitors,4,Nos.,,,0.00,0.00,INR Zero Only
1.06,Developmental console with one TFT,1,Nos.,,,0.00,0.00,INR Zero Only
2,Storage & Backup Devices,,,,,,,
2.01,SAN STORAGE 12 TB,2,Nos.,,,0.00,0.00,INR Zero Only
2.02,Exteranl DAT drive,2,Nos.,,,0.00,0.00,INR Zero Only
3,Routers,,,,,,,
3.01,Router at remote VDU,4,Nos.,,,0.00,0.00,INR Zero Only
4,Security system (DMZ),,,,,,,
4.01,Router,2,Nos.,,,0.00,0.00,INR Zero Only
4.02,Firewall & network IDS/IPS,2,Nos.,,,0.00,0.00,INR Zero Only
4.03,Layer III switch,2,Nos.,,,0.00,0.00,INR Zero Only
4.04,Mandatory Spare @ 5% of hardware part for control cneter,1,L/s,,,0.00,0.00,INR Zero Only
5,IT Hardware for SCADA/ADMS for backup Control Centre,,,,,,,
5.01,ISR server,2,Nos.,,,0.00,0.00,INR Zero Only
