,"Sl.
No.",Item Description,Quantity,Units
3,1,2,4,5
4,1,"Providing and laying in position cement concrete of
specified grade including the cost of centering and
shuttering - All work up to plinth level : 1:2:4 (1
Cement : 2 coarse sand : 4 graded stone aggregate
20 mm nominal size). including supply of all
material,labour,T&P etc.required for proper
completion of work.",288.00,cum
5,2,"Providing and laying in position cement concrete of
specified grade excluding the cost of centering and
shuttering-Allworkuptoplinthlevel:1:4:8(1Cement
: 4 coarse sand :8 graded stone aggregate 40 mm
nominal size).",288.00,cum
6,3,"Excavation of pipeline trench in Soil mixed with
Boulder, lift upto 1.5m, lead upto 30m. Including
refilling,watering,rammingofexcavatedearthintothe
trenchesandremovalofsurplusearthuptoadistance
of 60m from trenches including supply of labour, T&P
etc complete.",,
7,3.1,Soil Mixed with Boulder & Bazari,7146.41,Cum
8,3.2,In Medium Rock,442.09,Cum
9,4,"Providing of all materials, Carting from site store to
site of work, lowering in to treanches with true to
alignment, Laying of MS ERW pipes grade Yst 210,
Jointing byelectricwelding processwith propergrade
of eletrodes suitable for jointing of water supply pipe
lines ( adore,L&T or equivelent electrodes) by cutting
of pipe and making required bends by welding
completion of work with testing of pipe line etc
complete",,
10,4.1,100mmx 4.4 mm thick,90.00,Mtr
11,4.2,125mmx 4.8 mm thick,1901.00,Mtr
12,4.3,150mmx 4.4 mm thick,2829.00,Mtr
13,5,"Supply and Carting , laying jointing (including cost of
jointing materials like specials and fittings, white lead,
hemp and oil etc.) fixing and testing of M.S.
galvanised screwed and socketed pipes (Medium
quality).including cutting and threading etc. complete
confirming to IS:1239 (Part-I) make of pipe:Jindal
(Hisar)/Parkash Surya/ TT Swasthik",,
14,5.1,GI Pipe 15 mm dia (Medium Qualty),13140.00,Mtr
15,5.2,GI Pipe 40 mm dia (Medium Qualty),614.00,Mtr
16,5.3,GI Pipe 50 mm dia (Medium Qualty),2960.00,Mtr
17,5.4,GI Pipe 65 mm dia (Medium Qualty),6065.00,Mtr
18,5.5,GI Pipe 80 mm dia (Medium Qualty),2542.00,Mtr
19,5.6,GI Pipe 100 mm dia (Medium Qualty),650.00,Mtr
20,6,"Supply cartage of sluice/ reflux valves of the site of
work,loweringinalreadypreparedtrenchesandfixing
them in position.",,
21,6.1,CI DF Non Return valve 100 mm dia (PN 10),2.00,No
22,6.2,CI DF Sluice Valve 150 mm dia (PN 16),4.00,No
23,6.3,CI DF Sluice Valve 125 mm dia (PN 16),5.00,No
24,6.4,CI DF Sluice Valve 100 mm dia (PN 16),4.00,No
25,6.5,CI DF Sluice Valve 80 mm dia (PN 16),4.00,No
26,7,Supply and fixing CI Air Valve Double acting,4.00,No
27,8,"Supply of all materials, labours, T&P. etc. to construct
Wheel valve/Sluice Valve/ Reflux Valve chamber of
internal size 1.5x1.5x0.90 mtr of stone masonary,
15mm thick cement plaster with cm 1:4 and with M.S.
Cover with locking arrangement as per type design
complete.",19.00,No.
28,9,"Supply of all materials, labours, T&P. etc. to construct
wheel valve chamber of internal size 0.60x0.60x0.60
mtr of stone masonary, 15mm thick cement plaster
with cm 1:4 and with M.S. Cover with locking
arrangement as per type design complete.",4.00,No.
29,10,"Supply of all materials, labour T&Petc Construction
pump house room of 3.5mX 3.0m internal size
including construction of platform for pumps & motors
,supporting pillers as per drawing & design.",2.00,No.
30,11,"Supply of all materials, labour,T&P etc and
construction of R.C.C. O.H.T. of following capacity in
KL and 20 m staging with 1.00 m wide R.C.C. stair
case from G.L. to balcony and from balocony to top
dome1MX1MR.C.C.landingatsuitablelocationsand
ralled with 3 rows of 20mm dia G.I. (M) pipe on
65x65x5mm angle iron posts fixed with ladder, from
toptothefloorinsideofthe tank,M.S.M.H.coverwith
locking arrangement, lighning conductor as per
electrictiyrules, waterlevel indicatorsupplyand fixing
of outlet, inlet, over flow and wash out pipes with
necessary sluice valves, pipe place (Including cost of
materials)flooring0.60Mwideapron, paintingontank
body vertical pipes, ladder, M.S.M.H. cover, ventllator
column etc complete with approved water proofing
(Apex)/enama, paint, testing, filling water for testing
purpose etc including supply of vertical pipes and
specials,assumingbearingcapacityas8MT2staging
20.00 metre",,
31,11.01,300 KL,1.00,No.
32,11.02,400 KL,1.00,No.
33,12,Class A (Multi Jet Water Meter),1225.00,No.
34,13,"Dismantling of cement concrete pavement by
Mechanical means using pnemuatic tools breaking to
pieces not exceeding 0.02 cum volume and stock piling
at designated location and disposal of dismantled up to
lead of 1000 mts.",576.00,Cum
35,14,"Making ferrule connection in the existing main of G.I.
or any type of pressure mains with saddle piece,
service connections, fittings and fixing of G.M. ferrule
including tapping the main, including the cost of all
materials like GI Specials,brass bib cock and GM
ferrule etc.",1180.00,No
36,15,"Supply and fixing of Iron Gate with two pillars
complete. 2.4 m wide gate",2.00,No
37,16,"Construction of boundary wall including supply of all
material labour,T&P etc required for proper comletion
of the work.",140.00,Mtr
38,17,"Provision approach road to connect water works sites
to main road 2m wide road",0.50,km
39,18,"Operation & Maintenance Work Including Repair &
Maintenance , Staff and Chemicals for Civil and E&M
Works For 5 Years Excluding Electricity Charges.",1.00,Job
40,19,E&M Works,,
41,20,"Construction of 2No. 300mm dia, 120Mt. deep
Tubewell.",,
42,20.01,Drilling Work,,
43,20.02,"Transportation of Rig machine, Air compressor O.P.
unit and T & P and other equipments up to site
including loadinng unloading etc complete in all
respect.-1 Job.,Installation and leveling of Rig
machine, at site of work. - 1 Job, Drilling 550mm dia
size final bore from G.L. to required depth . - 120Mts.,
Collection of strata sample in box.-1 Job, Dismantling
of Rig machine after completion of work. Fitting of
girder and clamp, well cap.- 1Job, Arrangement of
water. -1 Job., Geophysical logging of bore well -
1Job., Preparing and Lowering of tube well assembly
G.L. to 120MBGL. -1 Job, Pea-Gravel Feeding from
120MBGL to G.L. .-1 Job , Fitting of girder, clamp and
well cap.- 1Job,",240.00,Mts.
44,20.03,Supply & lowering of Tubewell assembly.,,
45,20.04,300mm dia mini 8.0 mm thick M.S.E.R.W. pipe.,192.00,Mts.
46,20.05,"300mm dia mini 8.0 mm thick M.S.E.R.W. Slotted
pipe.",48.00,Mts.
47,20.06,"200x100mm dia size M.S Girder 4Mt. Long for
T.W. assembly.",4.00,Nos.
48,20.07,300mm dia Bail plug with hook.,2.00,Nos.
49,20.08,M.S. heavy duty D.E clamp suitable for 300mm dia.,2.00,Sets
50,20.09,300mm dia well cap.,2.00,Nos.
51,20.1,"Supply and shrouding of Pea-Gravel 2.00 to 3.00 mm
upto 200Mt.MBGL",80.00,Cu.M.
52,20.11,"Development of Tubewell by 350 PSI/1100CFM air
comperssor.",,
